"homeTeam";"awayTeam";"homeScore";"awayScore";"matchResult";"matchDate";"season";"home.Possession %";"away.Possession %";"home.Total shots";"away.Total shots";"home.On target";"away.On target";"home.Off target";"away.Off target";"home.Blocked";"away.Blocked";"home.Passing %";"away.Passing %";"home.Attacking 3rd %";"away.Attacking 3rd %";"home.Key Passes";"away.Key Passes";"home.Clear-Cut Chances";"away.Clear-Cut Chances";"home.Crosses %";"away.Crosses %";"home.Dribbles %";"away.Dribbles %";"home.Corners";"away.Corners";"home.Offsides";"away.Offsides";"home.Recoveries";"away.Recoveries";"home.Tackles %";"away.Tackles %";"home.Interceptions";"away.Interceptions";"home.Blocks";"away.Blocks";"home.Clearances";"away.Clearances";"home.Headed Clearances";"away.Headed Clearances";"home.Aerial Duels %";"away.Aerial Duels %";"home.Blocked Crosses";"away.Blocked Crosses";"home.Saves";"away.Saves";"home.Catches %";"away.Catches %";"home.Fouls Committed";"away.Fouls Committed";"home.Fouls Won";"away.Fouls Won";"home.Yellow Cards";"away.Yellow Cards";"home.Red Cards";"away.Red Cards"
"Genoa";"Bologna";0;0;"D";"2014-05-04";"2013/2014";"58.4";"41.6";"0";"0";"1";"3";"2";"7";"0";"0";"76.4";"67.6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"5";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19";"23";"23";"19";"3";"4";"0";"0"
"Parma";"Sampdoria";2;0;"W";"2014-05-04";"2013/2014";"54.7";"45.3";"0";"0";"7";"4";"3";"3";"0";"0";"82.1";"81.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"5";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"17";"17";"16";"3";"1";"0";"0"
"Udinese";"Livorno";5;3;"W";"2014-05-04";"2013/2014";"51.4";"48.6";"0";"0";"7";"6";"5";"8";"0";"0";"82.7";"78.6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"11";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"12";"10";"14";"1";"3";"0";"0"
"AC Milan";"Inter Milan";1;0;"W";"2014-05-04";"2013/2014";"51.5";"48.5";"14";"7";"4";"0";"6";"3";"4";"4";"83.6";"81.6";"70.5";"67.5";"10";"7";"1";"0";"15.4";"16.7";"33.3";"47.8";"5";"5";"1";"1";"50";"43";"77.3";"66.7";"14";"5";"3";"4";"20";"23";"11";"17";"37.5";"62.5";"4";"8";"0";"3";"100";"100";"16";"15";"14";"16";"3";"3";"0";"0"
"Sassuolo";"Juventus";1;3;"L";"2014-04-28";"2013/2014";"36.7";"63.3";"0";"0";"4";"6";"7";"5";"0";"0";"72.3";"86.2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"3";"2";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"23";"23";"19";"2";"1";"0";"0"
"Cagliari";"Parma";1;0;"W";"2014-04-27";"2013/2014";"47.8";"52.2";"0";"0";"3";"4";"3";"12";"0";"0";"76.7";"81.6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"9";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"16";"14";"8";"2";"2";"0";"1"
"Livorno";"Lazio";0;2;"L";"2014-04-27";"2013/2014";"49.9";"50.1";"0";"0";"4";"11";"9";"6";"0";"0";"74.9";"80.1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"7";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"12";"11";"15";"3";"1";"0";"0"
"Sampdoria";"Chievo";2;1;"W";"2014-04-27";"2013/2014";"58.8";"41.2";"0";"0";"5";"2";"5";"1";"0";"0";"80.2";"71.4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"4";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"15";"15";"12";"1";"5";"1";"0"
"Torino";"Udinese";2;0;"W";"2014-04-27";"2013/2014";"42.7";"57.3";"0";"0";"3";"1";"8";"3";"0";"0";"81.5";"86.3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"7";"7";"9";"0";"3";"0";"0"
"Atalanta";"Genoa";1;1;"D";"2014-04-27";"2013/2014";"65.7";"34.3";"0";"0";"6";"2";"11";"1";"0";"0";"87.1";"72";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"2";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"14";"12";"15";"2";"4";"0";"1"
