"homeTeam";"awayTeam";"homeScore";"awayScore";"matchResult";"matchDate";"season";"home.Possession %";"away.Possession %";"home.Total shots";"away.Total shots";"home.On target";"away.On target";"home.Off target";"away.Off target";"home.Blocked";"away.Blocked";"home.Passing %";"away.Passing %";"home.Attacking 3rd %";"away.Attacking 3rd %";"home.Key Passes";"away.Key Passes";"home.Clear-Cut Chances";"away.Clear-Cut Chances";"home.Crosses %";"away.Crosses %";"home.Dribbles %";"away.Dribbles %";"home.Corners";"away.Corners";"home.Offsides";"away.Offsides";"home.Recoveries";"away.Recoveries";"home.Tackles %";"away.Tackles %";"home.Interceptions";"away.Interceptions";"home.Blocks";"away.Blocks";"home.Clearances";"away.Clearances";"home.Headed Clearances";"away.Headed Clearances";"home.Aerial Duels %";"away.Aerial Duels %";"home.Blocked Crosses";"away.Blocked Crosses";"home.Saves";"away.Saves";"home.Catches %";"away.Catches %";"home.Fouls Committed";"away.Fouls Committed";"home.Fouls Won";"away.Fouls Won";"home.Yellow Cards";"away.Yellow Cards";"home.Red Cards";"away.Red Cards"
"Roda JC Kerk";"Groningen";1;2;"L";"2014-04-27";"2013/2014";"55.5";"44.5";"14";"7";"3";"3";"10";"4";"1";"0";"75.9";"69.9";"56.3";"50.5";"12";"5";"1";"2";"27.6";"16.7";"42.9";"46.2";"3";"4";"2";"2";"64";"72";"84.6";"82.6";"16";"14";"0";"1";"13";"29";"7";"11";"51.7";"48.3";"2";"3";"1";"3";"0";"71.4";"15";"16";"16";"15";"3";"0";"0";"1"
"Vitesse Arnhem";"Go Ahead Eagles";2;2;"D";"2014-04-27";"2013/2014";"70.5";"29.5";"25";"7";"6";"5";"15";"2";"4";"0";"88.5";"68.5";"73.2";"48.6";"20";"6";"0";"2";"25";"18.2";"68.4";"42.9";"5";"2";"2";"0";"70";"60";"100";"80.8";"6";"10";"0";"4";"10";"44";"9";"23";"63.2";"36.8";"1";"1";"3";"4";"0";"100";"9";"14";"14";"8";"2";"0";"0";"0"
"AZ Alkmaar";"NEC Nijmegen";1;1;"D";"2014-04-13";"2013/2014";"63.5";"36.5";"22";"13";"6";"4";"9";"8";"7";"1";"80.9";"62.7";"69.4";"40.4";"13";"10";"5";"1";"20.5";"58.3";"53.8";"60";"11";"3";"2";"0";"56";"62";"80";"71.4";"17";"22";"0";"6";"28";"50";"14";"31";"52.4";"47.6";"1";"7";"3";"5";"0";"0";"14";"16";"12";"12";"0";"2";"0";"0"
"FC Utrecht";"Heracles Almelo";2;1;"W";"2014-04-13";"2013/2014";"41.7";"58.3";"15";"13";"6";"3";"6";"6";"3";"4";"66.1";"75.5";"59.5";"59.1";"8";"10";"2";"1";"36";"12";"45.5";"62.5";"7";"5";"2";"3";"56";"58";"73.3";"75";"10";"2";"4";"2";"51";"50";"24";"31";"55.3";"44.7";"3";"2";"2";"4";"0";"100";"17";"19";"19";"17";"2";"3";"0";"1"
"RKC Waalwijk";"PEC Zwolle";1;1;"D";"2014-04-13";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ajax";"ADO Den Haag";3;2;"W";"2014-04-13";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"PSV Eindhoven";"Feyenoord";0;2;"L";"2014-04-13";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Go Ahead Eagles";"Heerenveen";0;2;"L";"2014-04-12";"2013/2014";"53.6";"46.4";"13";"15";"4";"6";"9";"6";"0";"3";"76.5";"72.4";"57.5";"56.5";"10";"12";"3";"2";"16.7";"50";"55.6";"36.4";"5";"6";"2";"2";"43";"60";"91.7";"94.1";"18";"19";"3";"0";"38";"34";"27";"13";"45.5";"54.5";"1";"3";"4";"4";"100";"100";"8";"20";"19";"7";"0";"2";"0";"0"
"Cambuur Leeuwarden";"Vitesse Arnhem";4;3;"W";"2014-04-12";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"FC Twente";"Roda JC Kerk";3;0;"W";"2014-04-12";"2013/2014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
